Dataset,Performance Metric,Increase,,
Diabetes,Accuracy,0.33,,
Diabetes,F1 score,1.04,,
Diabetes,ROC-AUC Score,0.66,,
Liver,Accuracy,-0.73,,
Liver,F1 score,-0.32,,
Liver,ROC-AUC Score,-1.46,,
Hepatitis,Accuracy,-2.52,,
Hepatitis,F1 score,-14.85,,
Hepatitis,ROC-AUC Score,-10.00,,
Abalone,Accuracy,0.73,,
Abalone,F1 score,1.70,,
Abalone,ROC-AUC Score,0.84,,
Water,Accuracy,0.44,,
Water,F1 score,0.30,,
Water,ROC-AUC Score,0.37,,
Fetal,Accuracy,-1.53,,
Fetal,F1 score,-3.68,,
Fetal,ROC-AUC Score,-2.20,,
